val_loss,val_mIoU,val_F1,val_OA,epoch,step,train_loss,train_mIoU,train_F1,train_OA
,,,,25,2235,0.6046158075332642,0.7916026825990607,0.8811202642825625,0.9037147873891066
0.5420660376548767,0.8127182058376015,0.8950459383003277,0.9066900268481256,26,2321,,,,
,,,,26,2321,0.5977094769477844,0.7936962862160148,0.8824204349778786,0.9057631957846615
0.5414501428604126,0.8125969612588925,0.8950057546662166,0.9064759204450124,27,2407,,,,
,,,,27,2407,0.5954059362411499,0.7907160034342804,0.8805015297078633,0.9042489863837064
0.5408222675323486,0.8121857444632357,0.8947008721369784,0.9065239495544091,28,2493,,,,
,,,,28,2493,0.5999363660812378,0.7930450825664729,0.8820149280643588,0.9050275722588339
0.5413784980773926,0.8122317521597772,0.8947505259259133,0.9063862530980634,29,2579,,,,
,,,,29,2579,0.600811243057251,0.7928116787149977,0.8818367046279464,0.9051878933150196
0.5574029684066772,0.8081412086851845,0.8919949426082431,0.9058000369621682,30,2665,,,,
,,,,30,2665,0.6478651762008667,0.7822588975317426,0.8748811393892652,0.8985989656795972
0.5556660294532776,0.8036299934744875,0.8892395688539535,0.9017403941750715,31,2751,,,,
,,,,31,2751,0.6345941424369812,0.7803306337658067,0.8736544717637658,0.8978140675980123
0.566847026348114,0.8032681043314918,0.8887547690836668,0.9037072825557992,32,2837,,,,
,,,,32,2837,0.6333377957344055,0.7827271250748715,0.8752584695004678,0.8988251652491585
0.5559857487678528,0.8096594504851474,0.8930228550743772,0.9054311958432304,33,2923,,,,
,,,,33,2923,0.6212955117225647,0.7852715231109454,0.8770180480266317,0.9001581314281831
0.5855607390403748,0.8008465649507477,0.8873661661156493,0.9008637470635376,34,3009,,,,
,,,,34,3009,0.6102422475814819,0.7887278831918605,0.8791327722167512,0.9030800922726455
0.5580477714538574,0.8065173328312657,0.8911941112215439,0.9021051983119852,35,3095,,,,
